count,shelf_x,shelf_y,x,y,z,judge
287,1.3,0.1,1.2825,-0.1,0.885,error
288,1.3,0.1,1.2825,0.3,0.885,error
289,1.3,0.11,1.1325,-0.09,0.34,success
290,1.3,0.11,1.1325,0.31,0.34,success
291,1.3,0.11,1.2825,-0.09,0.34,success
292,1.3,0.11,1.2825,0.31,0.34,error
293,1.3,0.11,1.1325,-0.09,0.885,error
294,1.3,0.11,1.1325,0.31,0.885,error
295,1.3,0.11,1.2825,-0.09,0.885,error
296,1.3,0.11,1.2825,0.31,0.885,error
297,1.3,0.12,1.1325,-0.08,0.34,success
298,1.3,0.12,1.1325,0.32,0.34,success
299,1.3,0.12,1.2825,-0.08,0.34,success
300,1.3,0.12,1.2825,0.32,0.34,error
301,1.3,0.12,1.1325,-0.08,0.885,error
302,1.3,0.12,1.1325,0.32,0.885,error
303,1.3,0.12,1.2825,-0.08,0.885,error
304,1.3,0.12,1.2825,0.32,0.885,error
305,1.3,0.13,1.1325,-0.07,0.34,success
306,1.3,0.13,1.1325,0.33,0.34,success
307,1.3,0.13,1.2825,-0.07,0.34,success
308,1.3,0.13,1.2825,0.33,0.34,error
309,1.3,0.13,1.1325,-0.07,0.885,error
310,1.3,0.13,1.1325,0.33,0.885,error
311,1.3,0.13,1.2825,-0.07,0.885,error
312,1.3,0.13,1.2825,0.33,0.885,error
313,1.3,0.14,1.1325,-0.06,0.34,success
314,1.3,0.14,1.1325,0.34,0.34,success
315,1.3,0.14,1.2825,-0.06,0.34,success
316,1.3,0.14,1.2825,0.34,0.34,error
317,1.3,0.14,1.1325,-0.06,0.885,error
318,1.3,0.14,1.1325,0.34,0.885,error
319,1.3,0.14,1.2825,-0.06,0.885,error
320,1.3,0.14,1.2825,0.34,0.885,error
321,1.3,0.15,1.1325,-0.05,0.34,success
322,1.3,0.15,1.1325,0.35,0.34,success
323,1.3,0.15,1.2825,-0.05,0.34,success
324,1.3,0.15,1.2825,0.35,0.34,error
325,1.3,0.15,1.1325,-0.05,0.885,success
326,1.3,0.15,1.1325,0.35,0.885,error
327,1.3,0.15,1.2825,-0.05,0.885,error
328,1.3,0.15,1.2825,0.35,0.885,error
329,1.3,0.16,1.1325,-0.04,0.34,success
330,1.3,0.16,1.1325,0.36,0.34,success
331,1.3,0.16,1.2825,-0.04,0.34,success
332,1.3,0.16,1.2825,0.36,0.34,error
333,1.3,0.16,1.1325,-0.04,0.885,success
334,1.3,0.16,1.1325,0.36,0.885,error
335,1.3,0.16,1.2825,-0.04,0.885,error
336,1.3,0.16,1.2825,0.36,0.885,error
337,1.3,0.17,1.1325,-0.03,0.34,success
338,1.3,0.17,1.1325,0.37,0.34,success
339,1.3,0.17,1.2825,-0.03,0.34,success
340,1.3,0.17,1.2825,0.37,0.34,error
341,1.3,0.17,1.1325,-0.03,0.885,success
342,1.3,0.17,1.1325,0.37,0.885,error
343,1.3,0.17,1.2825,-0.03,0.885,error
344,1.3,0.17,1.2825,0.37,0.885,error
345,1.3,0.18,1.1325,-0.02,0.34,success
346,1.3,0.18,1.1325,0.38,0.34,success
347,1.3,0.18,1.2825,-0.02,0.34,success
348,1.3,0.18,1.2825,0.38,0.34,error
349,1.3,0.18,1.1325,-0.02,0.885,success
350,1.3,0.18,1.1325,0.38,0.885,error
351,1.3,0.18,1.2825,-0.02,0.885,error
352,1.3,0.18,1.2825,0.38,0.885,error
353,1.3,0.19,1.1325,-0.01,0.34,success
354,1.3,0.19,1.1325,0.39,0.34,success
355,1.3,0.19,1.2825,-0.01,0.34,success
356,1.3,0.19,1.2825,0.39,0.34,error
357,1.3,0.19,1.1325,-0.01,0.885,success
358,1.3,0.19,1.1325,0.39,0.885,error
359,1.3,0.19,1.2825,-0.01,0.885,error
360,1.3,0.19,1.2825,0.39,0.885,error
361,1.3,0.2,1.1325,0,0.34,success
362,1.3,0.2,1.1325,0.4,0.34,success
363,1.3,0.2,1.2825,0,0.34,success
364,1.3,0.2,1.2825,0.4,0.34,error
365,1.3,0.2,1.1325,0,0.885,success
366,1.3,0.2,1.1325,0.4,0.885,error
367,1.3,0.2,1.2825,0,0.885,error
368,1.3,0.2,1.2825,0.4,0.885,error
369,1.3,0.21,1.1325,0.01,0.34,success
370,1.3,0.21,1.1325,0.41,0.34,success
371,1.3,0.21,1.2825,0.01,0.34,success
372,1.3,0.21,1.2825,0.41,0.34,error
373,1.3,0.21,1.1325,0.01,0.885,success
374,1.3,0.21,1.1325,0.41,0.885,error
375,1.3,0.21,1.2825,0.01,0.885,error
376,1.3,0.21,1.2825,0.41,0.885,error
377,1.3,0.22,1.1325,0.02,0.34,success
378,1.3,0.22,1.1325,0.42,0.34,success
379,1.3,0.22,1.2825,0.02,0.34,success
380,1.3,0.22,1.2825,0.42,0.34,error
381,1.3,0.22,1.1325,0.02,0.885,success
382,1.3,0.22,1.1325,0.42,0.885,error
383,1.3,0.22,1.2825,0.02,0.885,error
384,1.3,0.22,1.2825,0.42,0.885,error
385,1.3,0.23,1.1325,0.03,0.34,success
386,1.3,0.23,1.1325,0.43,0.34,success
387,1.3,0.23,1.2825,0.03,0.34,success
388,1.3,0.23,1.2825,0.43,0.34,error
389,1.3,0.23,1.1325,0.03,0.885,success
390,1.3,0.23,1.1325,0.43,0.885,error
391,1.3,0.23,1.2825,0.03,0.885,error
392,1.3,0.23,1.2825,0.43,0.885,error
393,1.3,0.24,1.1325,0.04,0.34,success
394,1.3,0.24,1.1325,0.44,0.34,success
395,1.3,0.24,1.2825,0.04,0.34,success
396,1.3,0.24,1.2825,0.44,0.34,error
397,1.3,0.24,1.1325,0.04,0.885,success
398,1.3,0.24,1.1325,0.44,0.885,error
399,1.3,0.24,1.2825,0.04,0.885,error
400,1.3,0.24,1.2825,0.44,0.885,error
401,1.3,0.25,1.1325,0.05,0.34,success
402,1.3,0.25,1.1325,0.45,0.34,success
403,1.3,0.25,1.2825,0.05,0.34,success
404,1.3,0.25,1.2825,0.45,0.34,error
405,1.3,0.25,1.1325,0.05,0.885,success
406,1.3,0.25,1.1325,0.45,0.885,error
407,1.3,0.25,1.2825,0.05,0.885,error
408,1.3,0.25,1.2825,0.45,0.885,error
409,1.29,-0.25,1.1225,-0.45,0.34,success
410,1.29,-0.25,1.1225,-0.05,0.34,success
411,1.29,-0.25,1.2725,-0.45,0.34,success
412,1.29,-0.25,1.2725,-0.05,0.34,success
413,1.29,-0.25,1.1225,-0.45,0.885,success
414,1.29,-0.25,1.1225,-0.05,0.885,error
415,1.29,-0.25,1.2725,-0.45,0.885,error
416,1.29,-0.25,1.2725,-0.05,0.885,error
417,1.29,-0.24,1.1225,-0.44,0.34,success
418,1.29,-0.24,1.1225,-0.04,0.34,success
419,1.29,-0.24,1.2725,-0.44,0.34,success
420,1.29,-0.24,1.2725,-0.04,0.34,success
421,1.29,-0.24,1.1225,-0.44,0.885,success
422,1.29,-0.24,1.1225,-0.04,0.885,success
423,1.29,-0.24,1.2725,-0.44,0.885,error
424,1.29,-0.24,1.2725,-0.04,0.885,error
425,1.29,-0.23,1.1225,-0.43,0.34,success
426,1.29,-0.23,1.1225,-0.03,0.34,success
427,1.29,-0.23,1.2725,-0.43,0.34,success
428,1.29,-0.23,1.2725,-0.03,0.34,success
429,1.29,-0.23,1.1225,-0.43,0.885,success
430,1.29,-0.23,1.1225,-0.03,0.885,success
431,1.29,-0.23,1.2725,-0.43,0.885,error
432,1.29,-0.23,1.2725,-0.03,0.885,error
433,1.29,-0.22,1.1225,-0.42,0.34,success
434,1.29,-0.22,1.1225,-0.02,0.34,success
435,1.29,-0.22,1.2725,-0.42,0.34,success
436,1.29,-0.22,1.2725,-0.02,0.34,success
437,1.29,-0.22,1.1225,-0.42,0.885,success
438,1.29,-0.22,1.1225,-0.02,0.885,success
439,1.29,-0.22,1.2725,-0.42,0.885,error
440,1.29,-0.22,1.2725,-0.02,0.885,error
441,1.29,-0.21,1.1225,-0.41,0.34,success
442,1.29,-0.21,1.1225,-0.01,0.34,success
443,1.29,-0.21,1.2725,-0.41,0.34,success
444,1.29,-0.21,1.2725,-0.01,0.34,success
445,1.29,-0.21,1.1225,-0.41,0.885,success
446,1.29,-0.21,1.1225,-0.01,0.885,success
447,1.29,-0.21,1.2725,-0.41,0.885,error
448,1.29,-0.21,1.2725,-0.01,0.885,error
449,1.29,-0.2,1.1225,-0.4,0.34,success
450,1.29,-0.2,1.1225,0,0.34,success
451,1.29,-0.2,1.2725,-0.4,0.34,success
452,1.29,-0.2,1.2725,0,0.34,success
453,1.29,-0.2,1.1225,-0.4,0.885,success
454,1.29,-0.2,1.1225,0,0.885,success
455,1.29,-0.2,1.2725,-0.4,0.885,error
456,1.29,-0.2,1.2725,0,0.885,error
457,1.29,-0.19,1.1225,-0.39,0.34,success
458,1.29,-0.19,1.1225,0.01,0.34,success
459,1.29,-0.19,1.2725,-0.39,0.34,success
460,1.29,-0.19,1.2725,0.01,0.34,success
461,1.29,-0.19,1.1225,-0.39,0.885,success
462,1.29,-0.19,1.1225,0.01,0.885,success
463,1.29,-0.19,1.2725,-0.39,0.885,error
464,1.29,-0.19,1.2725,0.01,0.885,error
465,1.29,-0.18,1.1225,-0.38,0.34,success
466,1.29,-0.18,1.1225,0.02,0.34,success
467,1.29,-0.18,1.2725,-0.38,0.34,success
468,1.29,-0.18,1.2725,0.02,0.34,success
469,1.29,-0.18,1.1225,-0.38,0.885,success
470,1.29,-0.18,1.1225,0.02,0.885,success
471,1.29,-0.18,1.2725,-0.38,0.885,error
472,1.29,-0.18,1.2725,0.02,0.885,error
473,1.29,-0.17,1.1225,-0.37,0.34,success
474,1.29,-0.17,1.1225,0.03,0.34,success
475,1.29,-0.17,1.2725,-0.37,0.34,success
476,1.29,-0.17,1.2725,0.03,0.34,success
477,1.29,-0.17,1.1225,-0.37,0.885,success
478,1.29,-0.17,1.1225,0.03,0.885,success
479,1.29,-0.17,1.2725,-0.37,0.885,error
480,1.29,-0.17,1.2725,0.03,0.885,error
481,1.29,-0.16,1.1225,-0.36,0.34,success
482,1.29,-0.16,1.1225,0.04,0.34,success
483,1.29,-0.16,1.2725,-0.36,0.34,success
484,1.29,-0.16,1.2725,0.04,0.34,success
485,1.29,-0.16,1.1225,-0.36,0.885,success
486,1.29,-0.16,1.1225,0.04,0.885,success
487,1.29,-0.16,1.2725,-0.36,0.885,error
488,1.29,-0.16,1.2725,0.04,0.885,error
489,1.29,-0.15,1.1225,-0.35,0.34,success
490,1.29,-0.15,1.1225,0.05,0.34,success
491,1.29,-0.15,1.2725,-0.35,0.34,success
492,1.29,-0.15,1.2725,0.05,0.34,success
493,1.29,-0.15,1.1225,-0.35,0.885,success
494,1.29,-0.15,1.1225,0.05,0.885,success
495,1.29,-0.15,1.2725,-0.35,0.885,error
496,1.29,-0.15,1.2725,0.05,0.885,error
497,1.29,-0.14,1.1225,-0.34,0.34,success
498,1.29,-0.14,1.1225,0.06,0.34,success
499,1.29,-0.14,1.2725,-0.34,0.34,success
500,1.29,-0.14,1.2725,0.06,0.34,success
501,1.29,-0.14,1.1225,-0.34,0.885,success
502,1.29,-0.14,1.1225,0.06,0.885,success
503,1.29,-0.14,1.2725,-0.34,0.885,error
504,1.29,-0.14,1.2725,0.06,0.885,error
505,1.29,-0.13,1.1225,-0.33,0.34,success
506,1.29,-0.13,1.1225,0.07,0.34,success
507,1.29,-0.13,1.2725,-0.33,0.34,success
508,1.29,-0.13,1.2725,0.07,0.34,success
509,1.29,-0.13,1.1225,-0.33,0.885,success
510,1.29,-0.13,1.1225,0.07,0.885,success
511,1.29,-0.13,1.2725,-0.33,0.885,error
512,1.29,-0.13,1.2725,0.07,0.885,error
513,1.29,-0.12,1.1225,-0.32,0.34,success
514,1.29,-0.12,1.1225,0.08,0.34,success
515,1.29,-0.12,1.2725,-0.32,0.34,success
516,1.29,-0.12,1.2725,0.08,0.34,success
517,1.29,-0.12,1.1225,-0.32,0.885,success
518,1.29,-0.12,1.1225,0.08,0.885,success
519,1.29,-0.12,1.2725,-0.32,0.885,error
520,1.29,-0.12,1.2725,0.08,0.885,error
521,1.29,-0.11,1.1225,-0.31,0.34,success
522,1.29,-0.11,1.1225,0.09,0.34,success
523,1.29,-0.11,1.2725,-0.31,0.34,success
524,1.29,-0.11,1.2725,0.09,0.34,success
525,1.29,-0.11,1.1225,-0.31,0.885,success
526,1.29,-0.11,1.1225,0.09,0.885,success
527,1.29,-0.11,1.2725,-0.31,0.885,error
528,1.29,-0.11,1.2725,0.09,0.885,error
529,1.29,-0.1,1.1225,-0.3,0.34,success
530,1.29,-0.1,1.1225,0.1,0.34,success
531,1.29,-0.1,1.2725,-0.3,0.34,success
532,1.29,-0.1,1.2725,0.1,0.34,success
533,1.29,-0.1,1.1225,-0.3,0.885,success
534,1.29,-0.1,1.1225,0.1,0.885,success
535,1.29,-0.1,1.2725,-0.3,0.885,error
